time,btc,eth,sol_mcap,hype_mcap,btc_vol,sol_vol,hype_vol,hype_supply_step_flag
2019-01-01,3808.11783167738,139.154644360023,,,665138362.982127,,,0
2019-01-02,3898.1974880187,154.426368790181,,,907331210.632897,,,0
2019-01-03,3784.38863471654,147.06208679135,,,741905483.098637,,,0
2019-01-04,3827.52459438925,153.442376972531,,,924367155.186942,,,0
2019-01-05,3798.61395499708,154.301756867329,,,825443658.133947,,,0
2019-01-06,4045.99377498539,155.940283167738,,,1030998166.86515,,,0
2019-01-07,4001.01827819988,150.346131794272,,,1053956184.35001,,,0
2019-01-08,3992.6227893045,149.052762711864,,,1123494744.94983,,,0
2019-01-09,4004.25903565167,149.62985622443,,,1075230754.37069,,,0
2019-01-10,3627.90345002922,126.929803915839,,,1629540261.36053,,,0
2019-01-11,3624.16142109877,124.970574225599,,,974204297.31489,,,0
2019-01-12,3617.02207831677,124.329310637054,,,658144955.363762,,,0
2019-01-13,3508.6701081239,115.339895382817,,,700895357.802798,,,0
2019-01-14,3666.94519374635,128.323583869082,,,925378890.022718,,,0
2019-01-15,3581.29301548802,120.32987609585,,,940784213.830291,,,0
2019-01-16,3606.98657568673,122.420913793103,,,826890285.364818,,,0
2019-01-17,3640.12913062536,122.647751607247,,,843658221.552801,,,0
2019-01-18,3609.42673611923,119.485191408533,,,680285114.808071,,,0
2019-01-19,3687.30196113384,123.487991233197,,,727113518.066218,,,0
2019-01-20,3538.31372296903,117.515231735827,,,769693147.278172,,,0
2019-01-21,3535.623393045,115.918843074226,,,672607286.524668,,,0
2019-01-22,3577.30834979544,117.97571975453,,,840575740.383188,,,0
2019-01-23,3551.89382115722,116.313436586791,,,796849698.849144,,,0
2019-01-24,3567.58893366452,116.326357977791,,,668730948.724065,,,0
2019-01-25,3561.35049795441,114.967366452367,,,674019496.172586,,,0
2019-01-26,3557.03991525424,115.040040035067,,,652271703.141471,,,0
2019-01-27,3537.61413062536,111.82207685564,,,735110776.353289,,,0
2019-01-28,3435.05251402689,105.667155756867,,,1094503328.35146,,,0
2019-01-29,3395.82376329632,104.227875803624,,,725337975.874217,,,0
2019-01-30,3437.89586616014,107.66988603156,,,739732092.365871,,,0
2019-01-31,3410.13161601403,105.739236119229,,,679507855.350405,,,0
2019-02-01,3445.04989129164,106.634947691409,,,637091686.5035,,,0
2019-02-02,3461.93511747516,108.571131794272,,,499732373.953866,,,0
2019-02-03,3413.02161630625,106.021722676797,,,512452779.012544,,,0
2019-02-04,3411.38796171829,106.026675628288,,,608532445.89001,,,0
2019-02-05,3426.46501139684,106.135586499123,,,668174092.945875,,,0
2019-02-06,3367.50636499123,103.394712156634,,,818692463.076086,,,0
2019-02-07,3358.87359906487,103.299053769725,,,532905618.117249,,,0
2019-02-08,3612.47961922852,117.501485096435,,,1299396370.65385,,,0
2019-02-09,3621.26812098188,118.103963471654,,,690499396.747154,,,0
2019-02-10,3642.0223591467,123.577868205728,,,744518465.746495,,,0
2019-02-11,3590.6184836353,119.726615429573,,,757347590.185715,,,0
2019-02-12,3587.90246580947,120.828701928697,,,865368517.872786,,,0
2019-02-13,3576.08537258913,120.690225891292,,,869771399.371547,,,0
2019-02-14,3561.91638340152,119.68091320865,,,755538425.185984,,,0
2019-02-15,3565.00692372881,120.360025423729,,,691890064.174443,,,0
2019-02-16,3584.73600263004,121.804881063705,,,693193200.615665,,,0
2019-02-17,3622.7574289889,132.80649006429,,,983619690.069489,,,0
2019-02-18,3866.12921712449,144.415395967271,,,1891532865.86476,,,0
2019-02-19,3895.43521098773,143.137295733489,,,1648071622.72836,,,0
2019-02-20,3931.61382904734,147.192143483343,,,1117881087.42803,,,0
2019-02-21,3892.26179427236,143.601283459965,,,986996840.691185,,,0
2019-02-22,3948.30051052016,147.063304208065,,,928917101.19323,,,0
2019-02-23,4110.15112127411,157.5305,,,1214184350.72704,,,0
2019-02-24,3754.18378988895,135.383128872005,,,2029618402.33717,,,0
2019-02-25,3822.01869666861,137.924874926943,,,1254080208.6791,,,0
2019-02-26,3796.17506838106,135.725916130918,,,1069239136.67157,,,0
2019-02-27,3799.3819924021,133.996758912916,,,1138635730.81671,,,0
2019-02-28,3792.94772296902,134.754724137931,,,1189384297.58336,,,0
2019-03-01,3810.63269257744,134.864564582116,,,902934675.317666,,,0
2019-03-02,3809.64339099942,132.19729748685,,,759257683.250815,,,0
2019-03-03,3782.38187025132,129.645783752192,,,735336203.269313,,,0
2019-03-04,3698.16185505552,125.120439509059,,,1147707594.91774,,,0
2019-03-05,3840.1280490941,135.707658971362,,,1329815355.60261,,,0
2019-03-06,3851.99842548218,137.182303915839,,,1017405086.03937,,,0
2019-03-07,3855.92316832262,136.142440677966,,,1137006555.1052,,,0
2019-03-08,3839.23355289304,132.441421098773,,,1537739577.42144,,,0
2019-03-09,3910.36116656926,136.296960841613,,,1344657570.16058,,,0
2019-03-10,3903.9119509059,135.225663062537,,,1044597918.9828,,,0
2019-03-11,3851.56892168323,132.080107539451,,,1338115650.36599,,,0
2019-03-12,3858.91482378726,132.696165108124,,,1325388424.83358,,,0
2019-03-13,3851.95746639392,131.13371244886,,,1198001107.07723,,,0
2019-03-14,3853.78326504968,131.309282583285,,,1228047512.93689,,,0
2019-03-15,3901.91420689655,135.602942723553,,,1224292852.62009,,,0
2019-03-16,3989.79607685564,140.628877556984,,,1775465895.72383,,,0
2019-03-17,3967.14349444769,138.143052308591,,,1277355179.69878,,,0
2019-03-18,3969.44014582116,137.063216247808,,,1562509984.77751,,,0
2019-03-19,3996.16790356517,137.928077147867,,,1385445369.96133,,,0
2019-03-20,4030.65527586207,138.685892460549,,,1593580616.9284,,,0
2019-03-21,3976.27385008767,134.586574225599,,,1710223011.30551,,,0
2019-03-22,3983.88764582116,135.893367913501,,,1364432461.37632,,,0
2019-03-23,3981.77603302163,136.475040619521,,,1312218517.29064,,,0
2019-03-24,3970.6669880187,135.419440385739,,,1382156830.28264,,,0
2019-03-25,3908.23883869082,133.093157802455,,,1871750542.17762,,,0
2019-03-26,3917.76340210403,133.164339859731,,,1869820027.48237,,,0
2019-03-27,4027.00791788428,139.21530742256,,,2112828496.80567,,,0
2019-03-28,4010.93746201052,137.336611922852,,,1657818271.09735,,,0
2019-03-29,4089.46104003507,142.368977498539,,,1965206520.56767,,,0
2019-03-30,4091.89103834015,142.107745178258,,,1609683401.84088,,,0
2019-03-31,4094.31781472823,141.27678515488,,,1472493243.01307,,,0
2019-04-01,4138.41780771479,141.295688778492,,,2000646682.93836,,,0
2019-04-02,4903.71946206897,165.466880479252,,,5552027496.62499,,,0
