date,btc_usd,eth_usd,sol_usd
2024-06-25,60337.285426,3339.615149,132.043397
2024-06-26,61841.006772,3396.845281,137.077081
2024-06-27,60964.086057,3373.831684,136.507567
2024-06-28,61611.637206,3439.700334,148.516846
2024-06-29,60684.030391,3383.596661,141.497857
2024-06-30,60923.230637,3376.611361,140.098399
2024-07-01,63401.489935,3495.900882,147.802073
2024-07-02,62891.895121,3443.894989,147.271489
2024-07-03,61868.171301,3411.748971,152.845124
2024-07-04,60182.59399,3282.094369,138.976334
2024-07-05,57320.386569,3095.751916,128.141999
2024-07-06,56483.772212,2980.513107,134.512109
2024-07-07,57966.645992,3045.484309,140.468998
2024-07-08,54556.266606,2841.747084,128.842472
2024-07-09,56920.379773,3040.565399,140.408063
2024-07-10,57596.387555,3046.402808,139.631298
2024-07-11,57553.625591,3092.900526,140.976292
2024-07-12,56943.71683,3081.671695,134.844262
2024-07-13,57950.18602,3136.663487,139.049279
2024-07-14,59223.111227,3171.436773,144.588738
2024-07-15,61483.221229,3294.632385,151.013463
2024-07-16,64770.195347,3481.040858,158.428994
2024-07-17,65702.590653,3511.291435,163.318689
2024-07-18,64550.694888,3416.982196,158.321291
2024-07-19,64186.088307,3427.341894,161.872742
2024-07-20,66642.231182,3483.872631,170.597033
2024-07-21,67154.206204,3513.038114,173.974602
2024-07-22,68026.412787,3541.280013,183.004379
2024-07-23,67379.088226,3484.658096,178.444106
2024-07-24,65933.051579,3472.72022,172.512205
2024-07-25,64540.696136,3259.838109,174.613147
2024-07-26,66152.879304,3181.970193,173.112387
2024-07-27,67817.300193,3254.833265,181.653338
2024-07-28,68000.380802,3250.131061,185.720631
2024-07-29,68487.990631,3277.585966,187.811365
2024-07-30,66515.897299,3328.533587,183.191077
2024-07-31,66234.815669,3284.560889,181.050398
2024-08-01,64538.613452,3210.026583,171.383825
2024-08-02,64893.347783,3175.687949,166.321124
2024-08-03,60823.550879,2931.990715,149.359167
2024-08-04,60536.352079,2896.678379,142.939422
2024-08-05,54772.911509,2346.752927,131.533277
2024-08-06,55919.341941,2539.166001,139.51113
2024-08-07,56139.720536,2451.038665,143.871294
2024-08-08,55823.508396,2378.686965,147.366485
2024-08-09,61268.127707,2667.289746,161.365643
2024-08-10,60588.067786,2608.675463,155.06322
2024-08-11,61072.431904,2627.361341,154.664563
2024-08-12,58746.122756,2568.38848,143.69238
2024-08-13,59543.65741,2717.039862,146.374586
2024-08-14,60613.040289,2705.059029,144.671317
2024-08-15,58901.487263,2656.880137,145.175596
2024-08-16,57359.183205,2560.889632,141.121607
2024-08-17,59224.163459,2603.104411,139.422598
2024-08-18,59511.765476,2614.869929,141.845907
2024-08-19,58224.841046,2617.849018,142.035551
2024-08-20,60658.263475,2660.238113,146.313942
2024-08-21,59071.979207,2573.426947,142.02598
2024-08-22,60923.972974,2628.79381,143.076654
2024-08-23,60814.673364,2645.648926,144.481256
2024-08-24,63868.787962,2751.99919,152.670329
2024-08-25,64255.376569,2763.42791,157.773011
2024-08-26,64193.916984,2755.245988,159.087893
2024-08-27,63116.569993,2691.355366,158.771515
2024-08-28,59060.466105,2434.070167,145.927284
2024-08-29,59141.851731,2520.611037,143.514502
2024-08-30,59067.443207,2519.964418,139.749954
2024-08-31,59300.725841,2528.146487,138.414801
2024-09-01,58959.135423,2502.079228,134.103343
2024-09-02,57558.92595,2441.3687,130.209862
2024-09-03,59377.839003,2584.832256,134.860218
2024-09-04,56442.32723,2363.367241,125.592705
2024-09-05,58179.448692,2457.535024,133.658293
2024-09-06,56271.770141,2379.980555,129.506547
2024-09-07,53925.798102,2225.648236,124.870911
2024-09-08,54232.287735,2277.506931,127.798414
2024-09-09,55063.350385,2303.189572,129.541641
2024-09-10,56945.662449,2346.506778,133.470574
2024-09-11,57076.648231,2355.157795,134.623196
2024-09-12,57802.131743,2361.152431,134.580671
2024-09-13,57962.278149,2356.252682,134.667793
2024-09-14,60600.91871,2433.076409,139.364062
2024-09-15,60286.723658,2427.509705,137.769416
2024-09-16,58650.682401,2288.431635,130.329596
2024-09-17,57975.383652,2279.032423,131.044818
2024-09-18,60199.984348,2324.870417,131.302207
2024-09-19,61742.877959,2381.847275,135.005215
2024-09-20,63030.24191,2454.237671,142.265688
2024-09-21,63076.758107,2560.727001,147.020453
2024-09-22,63182.369592,2581.416588,148.422234
2024-09-23,63882.252233,2615.759796,147.282517
2024-09-24,63053.690217,2630.591783,143.637532
2024-09-25,64578.624475,2662.292697,153.482016
2024-09-26,62773.062823,2563.859327,147.332325
2024-09-27,65135.97134,2631.227193,155.19444
2024-09-28,65910.454057,2696.534925,158.313336
2024-09-29,65823.251405,2672.035677,157.248925
2024-09-30,65252.854812,2643.435451,159.167688
2024-10-01,63558.648743,2625.389936,154.502869
2024-10-02,61439.402317,2475.192997,145.643999
2024-10-03,61144.128941,2388.980493,141.88969
2024-10-04,61070.194081,2369.645224,138.213318
2024-10-05,62070.934664,2418.533512,143.042936
2024-10-06,62070.164114,2418.95181,143.290817
2024-10-07,63813.358689,2493.164366,149.716781
2024-10-08,62583.705706,2433.680384,144.871489
2024-10-09,62470.326595,2462.560462,145.012798
2024-10-10,60720.140871,2392.553989,139.296557
2024-10-11,60486.553839,2381.825717,138.778974
2024-10-12,62854.341349,2445.315412,145.978023
2024-10-13,63632.256463,2483.299808,146.107826
2024-10-14,62716.371482,2457.591796,148.070553
2024-10-15,66247.101689,2640.485026,157.122376
2024-10-16,67220.112258,2612.429837,154.270818
2024-10-17,67489.589731,2614.177469,154.406569
2024-10-18,67617.366844,2619.566169,151.443849
2024-10-19,68337.285506,2639.157496,154.69589
2024-10-20,68169.113938,2641.423114,158.895972
2024-10-21,69364.001471,2750.679762,169.319598
2024-10-22,67454.535643,2641.802026,166.480494
2024-10-23,67217.401241,2621.403762,167.247568
2024-10-24,67157.363133,2541.733355,172.532714
2024-10-25,67858.257671,2517.646816,175.527814
2024-10-26,66546.882279,2438.28993,163.980592
2024-10-27,66967.574301,2474.287208,171.398473
2024-10-28,67687.392546,2493.252013,175.716538
2024-10-29,69897.320836,2584.206365,177.341323
2024-10-30,72302.397548,2621.930932,178.646453
2024-10-31,71942.446043,2568.323175,174.859886
2024-11-01,69919.313113,2519.764402,167.760424
2024-11-02,69578.286008,2513.061007,167.268359
2024-11-03,69257.833061,2484.794919,164.092718
2024-11-04,68788.091406,2461.180417,162.600695
2024-11-05,67541.554942,2384.626978,157.106658
2024-11-06,70782.42897,2473.833643,172.966243
2024-11-07,75727.170151,2845.794642,190.568158
2024-11-08,75946.290783,2904.652178,198.798892
