date,corr60
2024-04-16,0.8749761408529014
2024-04-17,0.8744957193694245
2024-04-18,0.8738997753970718
2024-04-19,0.8742153738941976
2024-04-20,0.8696494641462813
2024-04-21,0.8729004787817108
2024-04-22,0.8728210778840532
2024-04-23,0.8728283693366192
2024-04-24,0.8717279405525238
2024-04-25,0.8709129226033844
2024-04-26,0.8710161986966526
2024-04-27,0.8707124366844755
2024-04-28,0.8629327633251702
2024-04-29,0.8608288169796662
2024-04-30,0.8538003036069304
2024-05-01,0.8645790975538823
2024-05-02,0.8603304350411112
2024-05-03,0.8610024073387896
2024-05-04,0.8638706400040929
2024-05-05,0.8845264543831717
2024-05-06,0.885754595199639
2024-05-07,0.8854761941171405
2024-05-08,0.8879976776374058
2024-05-09,0.8865565721441291
2024-05-10,0.8882733572084038
2024-05-11,0.8837732568904701
2024-05-12,0.8839443617188276
2024-05-13,0.8868140094496826
2024-05-14,0.8855470473223986
2024-05-15,0.8850542691420615
2024-05-16,0.8797067221094971
2024-05-17,0.8800918201583745
2024-05-18,0.884253992876336
2024-05-19,0.8758963554749547
2024-05-20,0.8594716902754894
2024-05-21,0.8445928689871736
2024-05-22,0.828804153277514
2024-05-23,0.8292084626516028
2024-05-24,0.8185919877516753
2024-05-25,0.8044252669255592
2024-05-26,0.8046544515619247
2024-05-27,0.7988318083559726
2024-05-28,0.7984312067513466
2024-05-29,0.7982737600360552
2024-05-30,0.7987738724862182
2024-05-31,0.7952963320575895
2024-06-01,0.7912853399528017
2024-06-02,0.7765313831117006
2024-06-03,0.7739481806239097
2024-06-04,0.7811828210601708
2024-06-05,0.779550777203564
2024-06-06,0.7798106628481345
2024-06-07,0.7804387090154664
2024-06-08,0.7799183202580667
2024-06-09,0.7736723117280047
2024-06-10,0.7764324967714106
2024-06-11,0.7762652787346346
2024-06-12,0.7677270839827927
2024-06-13,0.7540564759967344
2024-06-14,0.7517694175287547
2024-06-15,0.7506250003222419
2024-06-16,0.750145426763563
2024-06-17,0.7479481756546547
2024-06-18,0.7469343003622129
2024-06-19,0.7524910911380637
2024-06-20,0.7408953752690035
2024-06-21,0.7399408020166116
2024-06-22,0.7406818072735134
2024-06-23,0.7409481590481631
2024-06-24,0.743192021316315
2024-06-25,0.7404024722099639
2024-06-26,0.7400965468846067
2024-06-27,0.7432516294466865
2024-06-28,0.7465482050874239
2024-06-29,0.759488956844193
2024-06-30,0.7275055189190833
2024-07-01,0.7382285820299161
2024-07-02,0.7396990517559935
2024-07-03,0.7410904740489147
2024-07-04,0.7508744848836252
2024-07-05,0.7654524823381605
2024-07-06,0.765650564729078
2024-07-07,0.765357171964512
2024-07-08,0.7852304577070851
