time,corr60
2025-01-27,0.3130587252152241
2025-01-28,0.3161749740922793
2025-01-29,0.33090049421880124
2025-01-30,0.3349807786132297
2025-01-31,0.33939081933314075
2025-02-01,0.35259325693778343
2025-02-02,0.3664471212452667
2025-02-03,0.3999371762281906
2025-02-04,0.39042027262299445
2025-02-05,0.39223185397038224
2025-02-06,0.3915204649445107
2025-02-07,0.39035376728501014
2025-02-08,0.39071605911954266
2025-02-09,0.3908282048544602
2025-02-10,0.39165988004488245
2025-02-11,0.3894710264206181
2025-02-12,0.42730495100337873
2025-02-13,0.4345893852761029
2025-02-14,0.4282691904476049
2025-02-15,0.435286484701841
2025-02-16,0.40080134525427225
2025-02-17,0.43150588210487456
2025-02-18,0.46075883159589637
2025-02-19,0.4733476195537003
2025-02-20,0.46053478079837984
2025-02-21,0.44829585797814336
2025-02-22,0.4383549676781926
2025-02-23,0.4584717420138673
2025-02-24,0.5137668844089848
2025-02-25,0.5004035006699724
2025-02-26,0.49299198803630623
2025-02-27,0.4905227394011972
2025-02-28,0.4895119602102823
2025-03-01,0.5167438479219019
2025-03-02,0.5050969601689397
2025-03-03,0.6118154020511077
2025-03-04,0.6045869315315914
2025-03-05,0.5952001806851748
2025-03-06,0.5864158985406596
2025-03-07,0.5770952473379892
2025-03-08,0.5675417705744099
2025-03-09,0.5630002100589876
2025-03-10,0.5581071496191864
2025-03-11,0.5478208383901669
2025-03-12,0.5413062524768755
2025-03-13,0.5491411581072102
2025-03-14,0.5666495147316531
2025-03-15,0.5591818043032925
2025-03-16,0.554209913739221
2025-03-17,0.5577064031363461
2025-03-18,0.5551695859426007
2025-03-19,0.5821085996381915
2025-03-20,0.5819410036427166
2025-03-21,0.567655769622959
2025-03-22,0.5517688297833729
2025-03-23,0.5710823258120402
2025-03-24,0.5881329838528755
2025-03-25,0.585361889093993
2025-03-26,0.5689234791008155
2025-03-27,0.5666727742228947
2025-03-28,0.5815548483635733
2025-03-29,0.5842206235162202
2025-03-30,0.574876223962652
2025-03-31,0.5859700746715198
2025-04-01,0.5893552181897164
2025-04-02,0.6040070406147436
2025-04-03,0.5979060747866389
2025-04-04,0.5774525055348846
2025-04-05,0.5901841115923121
2025-04-06,0.6246883773708325
2025-04-07,0.6254933693490561
2025-04-08,0.624957395156836
2025-04-09,0.6736107169538981
2025-04-10,0.6482446046706773
2025-04-11,0.6603801349679722
2025-04-12,0.6652157124342906
2025-04-13,0.6646738132077324
2025-04-14,0.6692385512321437
2025-04-15,0.6697091713560012
2025-04-16,0.6696867841177516
2025-04-17,0.6760176010873918
2025-04-18,0.6773907284264572
2025-04-19,0.6796056039573409
2025-04-20,0.6784531968167836
2025-04-21,0.6805921441394364
2025-04-22,0.6875069244563239
2025-04-23,0.6859891384150922
2025-04-24,0.6890023075866256
2025-04-25,0.6749421732343539
2025-04-26,0.6835531016468966
2025-04-27,0.6872765685210147
2025-04-28,0.6903517157305477
2025-04-29,0.6899615972467804
2025-04-30,0.6873056498124503
2025-05-01,0.7018733002068291
2025-05-02,0.6704331180151237
2025-05-03,0.6733734301001412
2025-05-04,0.6892020763448002
2025-05-05,0.6999475648217546
2025-05-06,0.705746796305863
2025-05-07,0.7057774747486563
2025-05-08,0.7247114821907847
2025-05-09,0.71251561754065
2025-05-10,0.729376814656996
2025-05-11,0.7369858013819253
2025-05-12,0.7297876103788102
2025-05-13,0.7217312700582706
2025-05-14,0.7242053536662512
2025-05-15,0.7174601046457099
2025-05-16,0.7162465999559423
2025-05-17,0.7350946036667829
2025-05-18,0.7256352058669322
2025-05-19,0.7150733021444506
2025-05-20,0.7353080507641818
2025-05-21,0.7385858961276499
2025-05-22,0.7187208600330777
2025-05-23,0.7121345237590426
2025-05-24,0.7101367370722448
2025-05-25,0.7252416945540576
2025-05-26,0.7219018153323454
2025-05-27,0.7071064302451514
2025-05-28,0.7041303821304019
2025-05-29,0.7098799885858276
2025-05-30,0.7031154405188281
2025-05-31,0.7085741017571543
2025-06-01,0.6951826242686271
2025-06-02,0.6918212843608679
2025-06-03,0.6928305501452997
2025-06-04,0.6936678781454481
2025-06-05,0.6474766188461875
2025-06-06,0.6248035618511715
2025-06-07,0.621646705252393
2025-06-08,0.5279064805317304
2025-06-09,0.6028015326284981
2025-06-10,0.5591397362752587
2025-06-11,0.5610896076629875
2025-06-12,0.5501124274240191
2025-06-13,0.5478295444540643
2025-06-14,0.5425382924673976
2025-06-15,0.5424699662168766
2025-06-16,0.545218997143318
2025-06-17,0.562183306412893
2025-06-18,0.5611734460340279
2025-06-19,0.5563100953125139
2025-06-20,0.562176365509296
2025-06-21,0.5761514380985169
2025-06-22,0.5635963920893613
2025-06-23,0.5744364345632635
2025-06-24,0.578819213392866
2025-06-25,0.5715688964649744
2025-06-26,0.5681000861641513
2025-06-27,0.5640265040270241
2025-06-28,0.5630489361255269
2025-06-29,0.5743931417469258
2025-06-30,0.588100015126298
2025-07-01,0.5972777150154964
2025-07-02,0.6138087320134121
2025-07-03,0.6042355491864524
2025-07-04,0.6090581579550068
2025-07-05,0.6080010604685642
2025-07-06,0.6086610670130775
2025-07-07,0.5874659970387459
2025-07-08,0.5958937459331071
2025-07-09,0.5972031428509884
2025-07-10,0.607540670799465
2025-07-11,0.6127330601085738
2025-07-12,0.6096625326624491
2025-07-13,0.6094554881241587
2025-07-14,0.6037006617451155
2025-07-15,0.5982239046945872
2025-07-16,0.5914298653780821
2025-07-17,0.5837693304659778
2025-07-18,0.5884480651146973
2025-07-19,0.5933870587396488
2025-07-20,0.5759747795009958
2025-07-21,0.5779142420872837
2025-07-22,0.5948889873352936
2025-07-23,0.6065084700878857
2025-07-24,0.6124206353825552
