date,lit_usd,source
2025-12-30,4.04,ATH on TGE day (CoinGecko via web search)
2026-03-31,0.7804,all-time low (CoinGecko via web search)
2026-05-18,0.8675,Coin Metrics ReferenceRateUSD
2026-05-24,1.2228,Coin Metrics ReferenceRateUSD
2026-08-10,2.3,web search (OKX/Bybit price page)
2026-08-11,2.43,web search
2026-08-23,3.29,"web search (CoinMarketCap, live)"
