date,hype_usd
2026-02-25,27.205685
2026-02-26,27.911919
2026-02-27,28.202726
2026-02-28,27.40171
2026-03-01,31.275495
2026-03-02,31.616638
2026-03-03,32.865507
2026-03-04,31.331253
2026-03-05,32.222116
2026-03-06,30.596825
2026-03-07,31.073437
2026-03-08,30.386754
2026-03-09,30.801298
2026-03-10,34.65989
2026-03-11,34.690277
2026-03-12,36.2503
2026-03-13,37.250685
2026-03-14,36.474242
2026-03-15,37.847041
2026-03-16,37.460226
2026-03-17,40.76932
2026-03-18,41.239123
2026-03-19,42.075981
2026-03-20,39.304219
2026-03-21,39.592622
2026-03-22,38.896649
2026-03-23,38.360037
2026-03-24,37.373423
2026-03-25,40.338017
2026-03-26,40.324694
2026-03-27,39.175813
2026-03-28,38.613924
2026-03-29,39.476765
2026-03-30,37.811884
2026-03-31,36.831323
2026-04-01,36.493805
2026-04-02,36.019414
2026-04-03,35.239258
2026-04-04,35.601287
2026-04-05,36.395212
2026-04-06,37.008368
2026-04-07,36.295559
2026-04-08,38.75708
2026-04-09,38.715338
2026-04-10,39.503901
2026-04-11,41.597496
2026-04-12,42.314965
2026-04-13,40.86525
2026-04-14,44.411928
2026-04-15,43.595138
2026-04-16,44.68312
2026-04-17,43.869238
2026-04-18,44.621913
2026-04-19,43.810148
2026-04-20,40.604751
2026-04-21,40.719223
2026-04-22,39.767159
2026-04-23,41.159802
2026-04-24,41.302825
2026-04-25,41.143507
2026-04-26,41.497574
2026-04-27,42.503091
2026-04-28,41.64959
2026-04-29,40.159753
2026-04-30,39.950489
2026-05-01,39.690647
2026-05-02,41.137285
2026-05-03,41.259745
2026-05-04,41.505653
2026-05-05,41.792426
2026-05-06,43.723909
2026-05-07,43.10926
2026-05-08,42.52052
2026-05-09,43.252084
2026-05-10,42.931667
2026-05-11,42.969092
2026-05-12,42.001703
2026-05-13,40.238902
2026-05-14,38.814111
2026-05-15,44.158713
2026-05-16,44.164435
2026-05-17,41.798918
2026-05-18,45.691561
2026-05-19,47.710544
2026-05-20,48.066764
2026-05-21,54.762768
2026-05-22,58.589256
2026-05-23,54.682899
2026-05-24,58.667672
2026-05-25,62.792844
2026-05-26,61.124913
2026-05-27,59.489272
2026-05-28,57.822455
2026-05-29,61.573356
2026-05-30,64.409948
2026-05-31,68.250181
2026-06-01,72.032476
2026-06-02,73.498229
2026-06-03,69.733377
2026-06-04,74.503084
2026-06-05,64.365519
2026-06-06,59.711595
2026-06-07,56.596798
2026-06-08,59.613315
2026-06-09,63.7809
2026-06-10,57.759762
2026-06-11,53.259591
2026-06-12,58.907188
2026-06-13,59.287422
2026-06-14,60.689508
2026-06-15,63.887282
2026-06-16,66.885522
2026-06-17,73.556633
2026-06-18,71.111465
2026-06-19,68.264595
2026-06-20,70.278918
2026-06-21,70.725118
2026-06-22,66.959713
2026-06-23,66.194026
2026-06-24,62.116627
2026-06-25,63.826596
2026-06-26,64.073
2026-06-27,64.303791
2026-06-28,61.62178
2026-06-29,61.420422
2026-06-30,66.796662
2026-07-01,64.967867
2026-07-02,62.352887
2026-07-03,66.867637
2026-07-04,70.64914
2026-07-05,69.81535
2026-07-06,71.274733
2026-07-07,70.567292
2026-07-08,69.195919
2026-07-09,67.597103
2026-07-10,67.083945
2026-07-11,67.448049
2026-07-12,66.814222
2026-07-13,67.301491
2026-07-14,63.439354
2026-07-15,65.483364
2026-07-16,66.829521
2026-07-17,60.686632
2026-07-18,59.739183
2026-07-19,60.191567
2026-07-20,61.109521
2026-07-21,62.420929
2026-07-22,60.832365
2026-07-23,59.358306
2026-07-24,57.49322
2026-07-25,57.44931
2026-07-26,58.100786
2026-07-27,59.609975
2026-07-28,56.063389
2026-07-29,55.196298
2026-07-30,53.897654
2026-07-31,55.861686
2026-08-01,52.629541
2026-08-02,52.199166
2026-08-03,52.570094
2026-08-04,53.858969
2026-08-05,55.034592
2026-08-06,56.949506
2026-08-07,56.161979
2026-08-08,54.062183
2026-08-09,55.075569
2026-08-10,53.915244
2026-08-11,55.044009
2026-08-12,54.44253
2026-08-13,56.032906
2026-08-14,57.464219
2026-08-15,56.455361
2026-08-16,56.891222
2026-08-17,57.174193
2026-08-18,59.425049
2026-08-19,58.495452
2026-08-20,69.701143
2026-08-21,73.583968
2026-08-22,75.61811
2026-08-23,79.487891
2026-08-23,79.400083
